clique_id,Amicizie mancanti, Simmetrie mancanti 
5946a55bf810d56922433043,0.0,4
5946a55bf810d56922433044,0.0,6
5946a55bf810d569224330a1,0.0,5
5946a55bf810d569224330a2,1.0,11
5946a55bf810d569224330a3,0.0,4
5946a55bf810d569224330a4,1.0,10
5946a570f810d56922435c46,0.0,7
5946a576f810d569224362ce,0.0,4
5946a576f810d5692243634d,0.0,5
5946a576f810d56922436374,0.0,6
5946a576f810d56922436381,0.0,10
5946a576f810d56922436388,0.0,9
5946a576f810d56922436391,0.0,8
5946a576f810d56922436397,0.0,11
5946a57cf810d56922436f94,0.0,13
5946a57cf810d5692243703b,0.0,9
5946a57cf810d56922437047,0.0,7
5946a57cf810d5692243704d,0.0,10
5946a582f810d56922438125,0.0,10
5946a582f810d56922438126,0.0,8
5946a582f810d5692243812a,0.0,9
5946a582f810d56922438180,0.0,11
5946a582f810d56922438184,0.0,12
5946a582f810d56922438186,0.0,12
5946a587f810d5692243892a,0.0,9
5946a587f810d569224389ca,0.0,14
5946a588f810d56922439430,0.0,12
5946a588f810d5692243984a,0.0,8
5946a588f810d5692243984b,0.0,8
5946a588f810d5692243989a,0.0,10
5946a588f810d5692243989c,0.0,11
5946a588f810d569224398a6,0.0,10
5946a588f810d569224398a7,0.0,9
5946a588f810d569224398d9,0.0,10
5946a588f810d569224398db,0.0,11
5946a588f810d569224398df,0.0,10
5946a588f810d569224398e0,0.0,11
5946a588f810d569224398e1,0.0,9
5946a588f810d569224398e3,0.0,9
5946a588f810d569224398e4,0.0,8
5946a588f810d569224398eb,0.0,12
5946a588f810d569224398ee,0.0,13
5946a588f810d569224398f9,0.0,11
5946a588f810d569224398fb,0.0,12
5946a588f810d56922439915,0.0,12
5946a588f810d56922439916,0.0,12
5946a588f810d56922439932,0.0,12
5946a588f810d56922439933,0.0,13
5946a588f810d56922439947,0.0,12
5946a588f810d5692243995f,0.0,12
5946a588f810d5692243997a,0.0,12
5946a588f810d5692243997b,0.0,12
5946a589f810d5692243a6b5,0.0,15
5946a589f810d5692243a6e4,0.0,15
