clique_id, Community, percentuale si 
5946b009f810d5692255bf18,si,94.0
5946aaabf810d569224f5034,no,40.69806379599021
5946ad4ef810d569225276c4,si,100
5946aee9f810d5692254969e,si,100
5946ad42f810d56922524fef,no,54.57333333333333
5946aeeaf810d56922549fb1,si,90.76923076923077
5946aee8f810d56922548843,si,100
5946af0af810d569225523f8,si,93.33333333333333
5946ad98f810d5692252e315,si,94.54545454545455
5946a5f2f810d5692244a0d2,si,92.5
5946a8f4f810d569224bc675,si,94.54545454545455
5946a5f4f810d5692244b3b8,si,94.0
5946b009f810d5692255bd7e,si,94.0
5946ade1f810d5692253517d,si,93.33333333333333
5946b009f810d5692255b95b,si,100
5946ad97f810d5692252dc28,si,100
5946a8f2f810d569224ba249,no,46.060475965597675
5946a8f6f810d569224bdea0,si,93.33333333333333
5946a8f3f810d569224bb77f,si,100
5946a6c4f810d5692246e753,si,93.33333333333333
5946a762f810d5692248ce45,no,46.23363242175761
5946a576f810d56922436347,si,94.54545454545455
5946ae29f810d56922539987,si,100
5946ae6af810d5692253daf7,si,100
5946a775f810d5692248dbda,si,100
5946acfef810d56922513776,si,100
5946a7a3f810d56922490cf7,no,40.87257974498777
5946ad01f810d56922515db9,si,93.33333333333333
5946aeeaf810d56922549d96,si,95.0
5946a607f810d5692244d2ac,si,92.5
5946a8faf810d569224c1ff3,no,45.84403039539776
5946a7a9f810d569224932d1,si,93.33333333333333
5946ad0ff810d569225216ee,si,100
5946a6c4f810d5692246e977,no,46.23363242175761
5946a5f3f810d5692244b0cb,si,100
5946ad0bf810d5692251e0f7,no,46.375305885888466
5946ad05f810d56922518c72,si,94.0
5946ae74f810d5692253e01e,no,46.23363242175761
5946a6c4f810d5692246e9d8,no,46.060475965597675
5946aee8f810d56922548699,si,100
5946a5a7f810d5692243e3b8,si,94.0
5946a8f2f810d569224ba09f,si,100
5946a8f4f810d569224bc66f,si,100
5946a8e4f810d569224b7d9a,no,46.375305885888466
5946a8fbf810d569224c247f,si,94.54545454545455
5946a8fff810d569224c5b58,si,92.5
5946a8fbf810d569224c23dd,si,95.38461538461539
5946b038f810d5692255dce2,no,45.84403039539776
5946a5f3f810d5692244a6a2,si,100
5946a8f5f810d569224bd7da,si,94.0
5946a6d4f810d56922471fdb,si,93.33333333333333
5946aeebf810d5692254a9d5,no,45.84403039539776
5946aa52f810d569224efbbc,si,94.0
5946a745f810d56922486631,si,100
5946ad05f810d56922519516,si,100
5946a797f810d5692248ef96,si,100
5946a761f810d5692248c902,si,93.33333333333333
5946a6d3f810d56922471f75,si,100
5946a8f7f810d569224bebe4,si,100
5946a5b3f810d569224403c5,no,40.87257974498777
5946ad03f810d56922517a44,si,100
5946a947f810d569224cc4ab,si,92.5
5946ad98f810d5692252e807,no,46.375305885888466
5946a8fbf810d569224c23cd,no,46.23363242175761
5946a9b4f810d569224dc3f2,no,40.87257974498777
5946adbbf810d56922532828,no,40.87257974498777
5946aef2f810d56922550ba6,si,100
5946a5f4f810d5692244b806,no,40.775626439989125
5946a5f3f810d5692244a54b,no,46.23363242175761
5946aef1f810d5692255089c,si,100
5946a951f810d569224cf642,no,46.060475965597675
5946ad97f810d5692252debf,si,94.0
5946ab35f810d569224fc2e8,no,40.87257974498777
5946a8f1f810d569224b9d8f,si,92.5
5946a8f5f810d569224bd292,si,100
5946abb6f810d56922503a6b,si,100
5946a576f810d56922436262,si,94.0
5946ad97f810d5692252dbce,si,100
5946a6c4f810d5692246e794,si,94.0
5946a8fbf810d569224c201a,si,95.0
5946b1e7f810d56922569114,si,100
5946acfff810d56922513c8b,si,100
5946a607f810d5692244d2ef,si,92.5
5946acb8f810d5692250f138,si,92.5
5946ad02f810d56922516d79,si,100
5946a8fcf810d569224c31d0,si,95.0
5946abdff810d569225073a8,si,100
5946ad05f810d56922518d68,si,95.0
5946a762f810d5692248ce57,si,94.0
5946aee6f810d569225468a3,si,100
5946ad0df810d5692252042a,si,94.0
5946a7a3f810d56922491588,no,45.84403039539776
5946aa1df810d569224e79b9,si,94.54545454545455
5946aeb5f810d5692253ff55,no,45.84403039539776
5946acfff810d569225148e9,si,94.0
5946ab35f810d569224fc50a,no,40.523547846992656
5946a576f810d5692243637f,si,100
5946aee7f810d56922547e6d,no,40.93075172798695
5946ad0af810d5692251d3ed,si,94.0
5946a5f3f810d5692244a89d,si,100
5946a7a2f810d56922490867,no,40.69806379599021
5946aa1df810d569224e7a61,si,94.0
5946a5f3f810d5692244b04e,si,100
5946a5a7f810d5692243e390,no,46.060475965597675
5946a8e4f810d569224b7e19,si,100
5946b1e7f810d569225694d4,si,93.33333333333333
5946ad96f810d5692252cb1b,si,100
5946acfef810d569225137aa,si,100
5946aafff810d569224f9f39,si,100
5946aa1df810d569224e79bd,si,92.5
5946ad02f810d5692251659d,si,94.0
5946ac75f810d5692250ccb0,si,100
5946a8fdf810d569224c4a6b,si,94.0
5946b009f810d5692255bf64,no,45.84403039539776
5946a8f9f810d569224c0efd,si,94.0
5946a8fef810d569224c4fc1,si,100
5946aee6f810d56922546848,si,92.5
5946ad07f810d5692251a711,si,100
5946aaf2f810d569224f94a0,no,40.9772893143863
5946ad04f810d5692251854b,si,93.33333333333333
5946a6c7f810d5692246f4dd,si,93.33333333333333
5946a8f5f810d569224bd7ee,si,100
5946aeb9f810d56922540ad6,si,93.33333333333333
5946ad00f810d569225154f3,si,100
5946b009f810d5692255b93a,si,100
5946a892f810d569224ab884,si,100
5946a5f3f810d5692244a63f,si,100
5946a8fcf810d569224c38ec,si,95.0
5946a5f3f810d5692244afc4,si,93.33333333333333
5946a5f3f810d5692244a9d8,no,45.84403039539776
5946acd5f810d56922512544,si,93.33333333333333
5946acfef810d569225137ca,si,100
5946ad4ef810d569225274cc,si,100
5946a74af810d56922486b96,no,40.69806379599021
5946a576f810d56922436363,no,45.84403039539776
5946a6c4f810d5692246ea52,no,46.060475965597675
5946a5f3f810d5692244a60a,si,92.5
5946a6c7f810d5692246f534,si,100
5946afb7f810d569225583a4,si,100
5946a87af810d569224aa97f,no,40.6205011519913
5946a8fbf810d569224c207f,si,94.54545454545455
5946a5f3f810d5692244a554,si,92.5
5946a8b6f810d569224b29a0,si,94.0
5946a6c7f810d5692246f3a0,si,100
5946a5f3f810d5692244aee7,si,94.0
5946ad03f810d56922517ee9,si,95.38461538461539
5946a5a7f810d5692243e363,no,46.493367105997514
5946a8f3f810d569224bb12d,si,100
5946a761f810d5692248c583,si,92.5
5946a6c4f810d5692246ec4b,si,92.5
5946b009f810d5692255bdef,si,100
5946a6c4f810d5692246e986,no,46.060475965597675
5946aed9f810d56922545ca2,no,45.84403039539776
5946a8f8f810d569224bf896,si,100
5946af8ef810d56922557799,si,100
5946ad0df810d5692252047c,si,100
5946ad04f810d5692251882d,si,94.0
5946ad4df810d569225261d8,si,100
5946ad05f810d569225194d8,si,100
5946b008f810d5692255b669,no,53.74
5946a5f3f810d5692244ade9,si,92.5
5946b15ff810d56922565988,no,45.84403039539776
5946b2f7f810d5692256d1f6,si,93.33333333333333
5946a8e0f810d569224b70ac,si,100
5946ad06f810d56922519ffc,si,94.0
5946a6c7f810d5692246f2a1,si,100
5946a588f810d56922439932,no,40.523547846992656
5946a797f810d5692248ef48,si,94.54545454545455
5946a8f2f810d569224ba86f,si,93.33333333333333
5946acfef810d569225137d4,si,92.5
5946a6f2f810d569224749ae,no,0.6205011519912992
5946a954f810d569224d1d74,no,40.93075172798695
5946b00af810d5692255ceb8,si,100
5946a9aaf810d569224dabd7,no,0.6980637959902116
5946aef2f810d56922550bdc,si,100
5946acfef810d56922513b12,si,100
5946abdff810d5692250732e,si,100
5946abb8f810d5692250550d,no,46.060475965597675
5946a8fef810d569224c5555,si,94.54545454545455
5946aef1f810d56922550783,si,100
5946a5f3f810d5692244a835,si,100
5946a6c4f810d5692246e99c,si,93.33333333333333
5946aeeaf810d56922549ff3,si,95.38461538461539
5946ad03f810d56922517936,si,92.5
5946a6c7f810d5692246f4de,si,93.33333333333333
5946aee8f810d56922548b4a,si,100
5946a74ff810d56922489878,no,40.87257974498777
5946aee9f810d56922549399,no,46.23363242175761
5946af1bf810d569225529bd,si,100
5946a5f3f810d5692244abaf,si,93.33333333333333
5946a6c7f810d5692246f4ca,si,100
5946a761f810d5692248c5f2,no,46.060475965597675
5946aff1f810d56922559c3d,si,94.54545454545455
5946ad02f810d569225167ab,si,100
5946a761f810d5692248c61e,si,92.5
5946a8f8f810d569224bf84e,si,93.33333333333333
5946a84af810d569224a4c33,si,100
5946ad0bf810d5692251ea77,si,100
5946a7a3f810d56922490b50,no,40.69806379599021
5946aec4f810d569225429c0,no,46.375305885888466
