clique_id, presenze massime_count, numero_nodi, intrusi ,Soglia 1,Soglia 2,Soglia 3,Soglia 4,fr1,fr2,fr3,fr4
5946a7a3f810d56922490cf7,2,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946ad01f810d56922515db9,19,9,0,9,9,8,8,1,1,"0,8888888889","0,8888888889"
5946a8fbf810d569224c247f,17,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a5b3f810d569224403c5,4,8,0,6,5,5,5,"0,75","0,625","0,625","0,625"
5946ab35f810d569224fc2e8,1,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946a576f810d56922436262,18,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946a8fbf810d569224c201a,13,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a74af810d56922486b96,2,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946aed9f810d56922545ca2,5,8,0,7,6,6,6,"0,875","0,75","0,75","0,75"
5946aec4f810d569225429c0,14,11,0,11,9,9,9,1,"0,8181818182","0,8181818182","0,8181818182"
5946a791f810d5692248eb8b,12,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a5f2f810d56922449983,12,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5f4f810d5692244b577,13,10,0,10,8,8,8,1,"0,8","0,8","0,8"
5946a5f3f810d5692244abcf,21,9,0,9,9,8,8,1,1,"0,8888888889","0,8888888889"
5946a809f810d5692249fdae,2,8,0,7,6,5,4,"0,875","0,75","0,625","0,5"
5946ac43f810d5692250aeb0,1,8,0,8,6,5,4,1,"0,75","0,625","0,5"
5946a8f6f810d569224bdcf6,10,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a5f2f810d5692244a0f6,16,8,0,8,8,7,7,1,1,"0,875","0,875"
5946a8fbf810d569224c24d3,15,14,0,14,13,13,13,1,"0,9285714286","0,9285714286","0,9285714286"
5946aa04f810d569224e45be,1,8,0,7,5,5,4,"0,875","0,625","0,625","0,5"
5946a8e4f810d569224b7da4,8,9,0,9,7,7,7,1,"0,7777777778","0,7777777778","0,7777777778"
5946a5f4f810d5692244b3d5,15,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946a8f4f810d569224bbc5b,13,11,0,11,11,10,10,1,1,"0,9090909091","0,9090909091"
5946a5b4f810d56922440784,2,8,0,7,4,3,3,"0,875","0,5","0,375","0,375"
5946a5f2f810d5692244a0d0,12,10,0,10,9,8,8,1,"0,9","0,8","0,8"
5946a5a5f810d5692243dea1,2,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946aeeaf810d56922549dc4,13,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946ab35f810d569224fc582,1,9,0,8,7,6,5,"0,8888888889","0,7777777778","0,6666666667","0,5555555556"
5946b009f810d5692255b8c5,11,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a7a2f810d569224909df,1,9,0,9,7,7,6,1,"0,7777777778","0,7777777778","0,6666666667"
5946ab79f810d569225010a4,1,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946a5f3f810d5692244ad8d,15,9,0,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946ad07f810d5692251a800,10,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946ab72f810d5692250062e,2,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946a7a2f810d56922490a1c,2,9,0,8,6,6,4,"0,8888888889","0,6666666667","0,6666666667","0,4444444444"
5946ac9af810d5692250df6a,9,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a797f810d5692248efae,12,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946ac43f810d5692250acef,1,8,0,8,6,6,5,1,"0,75","0,75","0,625"
5946a7a2f810d56922490544,2,8,0,7,5,5,3,"0,875","0,625","0,625","0,375"
5946ab35f810d569224fc298,1,8,0,8,7,6,4,1,"0,875","0,75","0,5"
5946abdff810d56922507473,13,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8fff810d569224c5bb1,12,12,0,12,10,10,10,1,"0,8333333333","0,8333333333","0,8333333333"
5946a634f810d56922451825,11,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946aeeaf810d56922549fb2,10,13,0,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946ab35f810d569224fc56c,1,8,0,7,6,5,4,"0,875","0,75","0,625","0,5"
5946a5f3f810d5692244aed7,14,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5b3f810d569224404b0,2,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946a7a2f810d569224909a4,1,9,0,9,7,7,5,1,"0,7777777778","0,7777777778","0,5555555556"
5946a7a3f810d5692249110b,1,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946ad07f810d5692251a704,10,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946ad02f810d56922516c21,13,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a7b8f810d569224950d4,21,9,1,8,7,7,7,"0,8888888889","0,7777777778","0,7777777778","0,7777777778"
5946aef2f810d56922551426,22,9,0,9,9,8,8,1,1,"0,8888888889","0,8888888889"
5946a5b3f810d569224402a2,1,8,1,6,4,4,3,"0,75","0,5","0,5","0,375"
5946aef0f810d5692254fafe,15,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946aeeaf810d56922549dd2,12,12,0,12,10,10,10,1,"0,8333333333","0,8333333333","0,8333333333"
5946a7a3f810d56922491683,1,8,0,7,6,6,5,"0,875","0,75","0,75","0,625"
5946ad06f810d56922519e72,12,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a8e4f810d569224b7df0,8,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946aec5f810d569225436b4,18,10,0,10,10,8,8,1,1,"0,8","0,8"
5946a5f4f810d5692244b6d4,9,9,0,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946a5f4f810d5692244b467,15,11,0,11,9,9,9,1,"0,8181818182","0,8181818182","0,8181818182"
5946ad06f810d56922519e48,12,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946aeebf810d5692254ac87,10,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a8fcf810d569224c31dd,12,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a5b3f810d5692244027b,1,8,0,7,4,4,4,"0,875","0,5","0,5","0,5"
5946ab72f810d5692250077c,3,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946b15ff810d569225657fc,1,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946aeeaf810d56922549e5e,11,12,0,12,10,10,10,1,"0,8333333333","0,8333333333","0,8333333333"
5946a5b3f810d569224402be,2,8,0,7,4,4,4,"0,875","0,5","0,5","0,5"
5946a5f4f810d5692244b65b,13,10,0,10,9,7,7,1,"0,9","0,7","0,7"
5946aeebf810d5692254b41a,10,11,0,11,9,9,9,1,"0,8181818182","0,8181818182","0,8181818182"
5946a5b4f810d569224408ab,2,8,0,6,4,4,3,"0,75","0,5","0,5","0,375"
5946b1e7f810d5692256944f,8,10,0,10,8,8,8,1,"0,8","0,8","0,8"
5946a74af810d569224868fd,1,8,0,8,5,5,5,1,"0,625","0,625","0,625"
5946b008f810d5692255b6ba,15,9,1,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946a7b8f810d569224954da,9,8,1,7,7,7,7,"0,875","0,875","0,875","0,875"
5946aeeaf810d56922549c13,12,10,0,10,9,8,8,1,"0,9","0,8","0,8"
5946acfff810d56922513ea6,16,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a7b7f810d569224949d2,15,9,1,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946adbbf810d56922532847,7,8,1,5,5,4,3,"0,625","0,625","0,5","0,375"
5946abb6f810d56922503c3b,18,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a634f810d56922451827,10,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a7b8f810d5692249565e,8,8,1,7,7,7,7,"0,875","0,875","0,875","0,875"
5946a7b7f810d56922494483,14,10,1,9,9,9,9,"0,9","0,9","0,9","0,9"
5946ab35f810d569224fc50e,1,9,0,8,6,5,4,"0,8888888889","0,6666666667","0,5555555556","0,4444444444"
5946a8fff810d569224c5cfd,9,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946adbbf810d569225327bd,2,8,0,7,6,5,4,"0,875","0,75","0,625","0,5"
5946a8faf810d569224c16cc,8,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a5f3f810d5692244afc7,16,9,0,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946ad06f810d56922519ee5,13,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a8faf810d569224c18f1,13,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946a8fdf810d569224c3d24,17,12,0,12,11,10,10,1,"0,9166666667","0,8333333333","0,8333333333"
5946a6d4f810d56922471fa4,20,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a797f810d5692248ef93,13,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a7a3f810d5692249112e,1,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946ad02f810d56922516ff7,17,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946b008f810d5692255b67d,22,9,1,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946af55f810d56922555378,10,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a8fbf810d569224c20b8,13,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a57cf810d56922437084,4,8,0,8,6,6,6,1,"0,75","0,75","0,75"
