clique_id, presenze massime_count, numero_nodi,Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5946ad4ef810d569225276c4,18,10,10,10,10,10,1,1,1,1
5946aee9f810d5692254969e,14,8,8,8,8,8,1,1,1,1
5946ad42f810d56922524fef,14,9,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946aeeaf810d56922549fb1,12,13,13,11,11,11,1,"0,8461538462","0,8461538462","0,8461538462"
5946aee8f810d56922548843,19,11,11,11,11,11,1,1,1,1
5946af0af810d569225523f8,8,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad98f810d5692252e315,15,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a5f2f810d5692244a0d2,13,8,8,8,7,7,1,1,"0,875","0,875"
5946a8f4f810d569224bc675,8,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a5f4f810d5692244b3b8,14,10,10,9,9,9,1,"0,9","0,9","0,9"
5946b009f810d5692255bd7e,7,10,10,9,9,9,1,"0,9","0,9","0,9"
5946ad97f810d5692252dc28,19,11,11,11,11,11,1,1,1,1
5946a8f2f810d569224ba249,13,9,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946a8f3f810d569224bb77f,13,12,12,12,12,12,1,1,1,1
5946a576f810d56922436347,16,11,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946ae29f810d56922539987,11,8,8,8,8,8,1,1,1,1
5946ae6af810d5692253daf7,9,9,9,9,9,9,1,1,1,1
5946acfef810d56922513776,11,9,9,9,9,9,1,1,1,1
5946aeeaf810d56922549d96,12,12,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a607f810d5692244d2ac,13,8,7,7,7,7,"0,875","0,875","0,875","0,875"
5946a8faf810d569224c1ff3,16,12,12,11,9,9,1,"0,9166666667","0,75","0,75"
5946a7a9f810d569224932d1,13,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ad0ff810d569225216ee,10,10,10,10,10,10,1,1,1,1
5946a5f3f810d5692244b0cb,19,10,10,10,10,10,1,1,1,1
5946ad0bf810d5692251e0f7,15,11,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946ad05f810d56922518c72,20,10,10,9,9,9,1,"0,9","0,9","0,9"
5946ae74f810d5692253e01e,9,10,10,9,8,8,1,"0,9","0,8","0,8"
5946a8f4f810d569224bc66f,12,12,12,12,12,12,1,1,1,1
5946a8e4f810d569224b7d9a,8,11,11,9,9,9,1,"0,8181818182","0,8181818182","0,8181818182"
5946a8fff810d569224c5b58,18,8,8,8,7,7,1,1,"0,875","0,875"
5946a8fbf810d569224c23dd,12,13,13,12,12,12,1,"0,9230769231","0,9230769231","0,9230769231"
5946a5f3f810d5692244a6a2,17,8,8,8,8,8,1,1,1,1
5946a8f5f810d569224bd7da,8,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a6d4f810d56922471fdb,12,9,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aa52f810d569224efbbc,10,10,10,9,9,9,1,"0,9","0,9","0,9"
5946a745f810d56922486631,8,9,9,9,9,9,1,1,1,1
5946ad05f810d56922519516,11,12,12,12,12,12,1,1,1,1
