clique_id, presenze massime_valore, presenze massime_count, numero_nodi, intrusi 
5946ad4ef810d569225276c4,10,3,10,0
5946aee9f810d5692254969e,8,2,8,0
5946ad42f810d56922524fef,8,3,9,1
5946aeeaf810d56922549fb1,11,4,13,0
5946aee8f810d56922548843,11,2,11,0
5946af0af810d569225523f8,8,5,9,0
5946ad98f810d5692252e315,10,3,11,0
5946a5f2f810d5692244a0d2,8,3,8,0
5946a8f4f810d569224bc675,10,5,11,0
5946a5f4f810d5692244b3b8,9,4,10,0
5946b009f810d5692255bd7e,9,1,10,0
5946ad97f810d5692252dc28,11,1,11,0
5946a8f2f810d569224ba249,8,1,9,0
5946a8f3f810d569224bb77f,12,1,12,0
5946a576f810d56922436347,10,2,11,0
5946ae29f810d56922539987,8,1,8,0
5946ae6af810d5692253daf7,9,1,9,0
5946acfef810d56922513776,9,3,9,0
5946aeeaf810d56922549d96,11,4,12,0
5946a607f810d5692244d2ac,7,3,8,1
5946a8faf810d569224c1ff3,11,1,12,0
5946a7a9f810d569224932d1,8,3,9,0
5946ad0ff810d569225216ee,10,3,10,0
5946a5f3f810d5692244b0cb,10,2,10,0
5946ad0bf810d5692251e0f7,10,3,11,0
5946ad05f810d56922518c72,9,2,10,0
5946ae74f810d5692253e01e,9,1,10,0
5946a8f4f810d569224bc66f,12,1,12,0
5946a8e4f810d569224b7d9a,9,5,11,0
5946a8fff810d569224c5b58,8,1,8,0
5946a8fbf810d569224c23dd,12,2,13,0
5946a5f3f810d5692244a6a2,8,2,8,0
5946a8f5f810d569224bd7da,9,4,10,0
5946a6d4f810d56922471fdb,8,2,9,0
5946aa52f810d569224efbbc,9,4,10,0
5946a745f810d56922486631,9,1,9,0
5946ad05f810d56922519516,12,1,12,0
5946a797f810d5692248ef96,8,2,8,0
5946a6d3f810d56922471f75,9,1,9,0
5946a8f7f810d569224bebe4,9,3,9,0
5946ad03f810d56922517a44,8,3,8,0
5946ad98f810d5692252e807,10,2,11,0
5946a8fbf810d569224c23cd,8,6,10,0
5946aef2f810d56922550ba6,10,2,10,0
5946a5f4f810d5692244b806,8,5,9,0
5946a5f3f810d5692244a54b,9,1,10,0
5946aef1f810d5692255089c,10,1,10,0
5946a951f810d569224cf642,8,1,9,0
5946a8f1f810d569224b9d8f,7,4,8,0
5946a8f5f810d569224bd292,12,2,12,0
5946abb6f810d56922503a6b,8,3,8,0
5946ad97f810d5692252dbce,12,1,12,0
5946b1e7f810d56922569114,9,4,9,0
5946acfff810d56922513c8b,12,1,12,0
5946a607f810d5692244d2ef,7,1,8,1
5946acb8f810d5692250f138,7,1,8,0
5946a8fcf810d569224c31d0,11,1,12,0
5946abdff810d569225073a8,9,3,9,0
5946ad05f810d56922518d68,11,4,12,0
5946aee6f810d569225468a3,11,1,11,0
5946ad0df810d5692252042a,9,1,10,0
5946aa1df810d569224e79b9,11,1,11,0
5946acfff810d569225148e9,10,1,10,0
5946a576f810d5692243637f,11,3,11,0
5946aee7f810d56922547e6d,8,1,9,0
5946ad0af810d5692251d3ed,9,1,10,0
5946aa1df810d569224e7a61,10,1,10,0
5946a5f3f810d5692244b04e,9,2,9,0
5946a8e4f810d569224b7e19,9,1,9,0
5946b1e7f810d569225694d4,8,3,9,0
5946ad96f810d5692252cb1b,12,1,12,0
5946aafff810d569224f9f39,8,2,8,0
5946aa1df810d569224e79bd,8,2,8,0
5946ad02f810d5692251659d,10,1,10,0
5946ac75f810d5692250ccb0,11,1,11,0
5946a8fdf810d569224c4a6b,9,1,10,0
5946b009f810d5692255bf64,8,2,8,0
5946a8f9f810d569224c0efd,9,1,10,0
5946a8fef810d569224c4fc1,9,1,9,0
5946aee6f810d56922546848,7,7,8,0
5946ad07f810d5692251a711,10,1,10,0
5946ad04f810d5692251854b,8,4,9,0
5946a8f5f810d569224bd7ee,9,6,9,0
5946aeb9f810d56922540ad6,8,1,9,0
5946ad00f810d569225154f3,11,1,11,0
5946b009f810d5692255b93a,9,1,9,0
5946a892f810d569224ab884,9,1,9,0
5946a5f3f810d5692244a63f,8,2,8,0
5946a8fcf810d569224c38ec,11,2,12,0
5946a5f3f810d5692244afc4,8,8,9,0
5946ad4ef810d569225274cc,9,4,9,0
5946a576f810d56922436363,8,2,8,0
5946a5f3f810d5692244a60a,7,7,8,0
5946afb7f810d569225583a4,11,1,11,0
5946a8fbf810d569224c207f,10,5,11,0
5946a5f3f810d5692244a554,7,7,8,0
5946a8b6f810d569224b29a0,9,1,10,0
5946a5f3f810d5692244aee7,9,6,10,0
5946ad03f810d56922517ee9,12,1,13,0
5946a8f8f810d569224bf896,8,5,8,0
5946af8ef810d56922557799,9,3,9,0
5946ad0df810d5692252047c,10,1,10,0
5946ad04f810d5692251882d,9,1,10,0
5946ad4df810d569225261d8,9,4,9,0
5946ad05f810d569225194d8,12,1,12,0
5946b008f810d5692255b669,7,3,8,1
5946b2f7f810d5692256d1f6,8,1,9,0
5946a8e0f810d569224b70ac,8,1,8,0
5946ad06f810d56922519ffc,9,2,10,0
5946a797f810d5692248ef48,10,4,11,0
5946a8f2f810d569224ba86f,8,2,9,0
5946a954f810d569224d1d74,8,2,9,0
5946aef2f810d56922550bdc,10,1,10,0
5946acfef810d56922513b12,9,1,9,0
5946abb8f810d5692250550d,7,8,9,0
5946a8fef810d569224c5555,11,1,11,0
5946aef1f810d56922550783,10,1,10,0
5946a5f3f810d5692244a835,8,3,8,0
5946aeeaf810d56922549ff3,12,1,13,0
5946ad03f810d56922517936,7,2,8,0
5946aee8f810d56922548b4a,12,1,12,0
5946aee9f810d56922549399,8,9,10,0
5946af1bf810d569225529bd,10,1,10,0
5946a5f3f810d5692244abaf,8,11,9,0
5946aff1f810d56922559c3d,10,4,11,0
5946ad02f810d569225167ab,10,1,10,0
5946a84af810d569224a4c33,9,1,9,0
5946ad0bf810d5692251ea77,10,2,10,0
5946a5f3f810d5692244aff8,9,2,10,0
5946a8fef810d569224c4bb2,9,1,9,0
5946a5f4f810d5692244b270,7,6,8,0
5946a954f810d569224d225b,8,3,8,0
5946a906f810d569224c7978,9,1,10,0
5946a6e6f810d56922473f35,7,1,8,0
5946a607f810d5692244d2d7,10,1,11,1
5946a5f3f810d5692244aa69,8,10,9,0
5946a8fff810d569224c652c,9,1,10,0
5946b1e6f810d56922568f94,7,4,8,0
5946a7b8f810d569224954b0,7,3,8,1
5946acb8f810d5692250efc6,8,1,9,0
5946aee8f810d56922548698,10,1,10,0
5946abb8f810d5692250555a,7,5,9,0
5946a8f5f810d569224bd317,11,3,11,0
5946abb8f810d569225051ff,8,1,8,0
5946a5f2f810d569224499e5,8,2,8,0
5946a5f3f810d5692244af77,9,4,10,0
5946b008f810d5692255b825,8,7,10,0
5946ae29f810d56922539c76,10,2,11,0
5946b1e7f810d569225693d8,8,4,10,0
5946aef0f810d5692254fa37,8,3,8,0
5946a8f4f810d569224bc29d,11,1,11,0
5946a8faf810d569224c1ff7,11,1,12,0
5946aef1f810d56922550788,9,2,9,0
5946a5f4f810d5692244b34e,8,3,9,0
5946abdef810d5692250713e,8,3,8,0
5946ad0ff810d569225216ec,9,1,9,0
5946b009f810d5692255b987,9,3,9,0
5946acfef810d56922513954,9,1,9,0
5946aab5f810d569224f5da5,8,1,9,0
5946a8fbf810d569224c2492,12,1,12,0
5946ad4ef810d569225276ca,10,2,10,0
5946b008f810d5692255b65b,6,4,8,1
5946a775f810d5692248dbdd,10,1,10,0
5946a8fef810d569224c5158,10,1,10,0
5946b2adf810d5692256bf1d,7,6,8,0
5946a5f3f810d5692244afc6,8,8,9,0
5946a8f2f810d569224ba5ee,11,1,12,0
5946a7a2f810d569224906d2,5,3,8,0
5946a8faf810d569224c1778,9,6,10,0
5946aee8f810d5692254826d,10,3,10,0
5946a8f7f810d569224be7b8,7,5,8,0
5946ad04f810d56922517f4b,11,1,12,0
5946a5f3f810d5692244a7bd,8,3,8,0
5946a7b8f810d5692249501c,9,2,10,1
5946a5f3f810d5692244aad9,7,11,8,0
5946aee9f810d5692254990a,11,1,12,0
5946acc1f810d56922510322,8,1,8,0
5946aee6f810d56922546dbb,10,1,11,0
