clique_id, presenze massime_valore, presenze massime_count, numero_nodi, intrusi 
5946b009f810d5692255bf18,9,1,10,0
5946aaabf810d569224f5034,4,2,8,0
5946ade1f810d5692253517d,8,1,9,0
5946b009f810d5692255b95b,9,1,9,0
5946a8f6f810d569224bdea0,8,1,9,0
5946a6c4f810d5692246e753,8,1,9,0
5946a762f810d5692248ce45,8,1,10,1
5946a775f810d5692248dbda,11,1,11,0
5946a6c4f810d5692246e977,8,1,10,0
5946a6c4f810d5692246e9d8,7,1,9,0
5946aee8f810d56922548699,10,1,10,0
5946a5a7f810d5692243e3b8,9,1,10,0
5946a8f2f810d569224ba09f,8,1,8,0
5946b038f810d5692255dce2,6,1,8,0
5946aeebf810d5692254a9d5,6,1,8,0
5946a761f810d5692248c902,8,1,9,0
5946a947f810d569224cc4ab,7,3,8,0
5946a9b4f810d569224dc3f2,5,1,8,0
5946adbbf810d56922532828,5,2,8,0
5946ad97f810d5692252debf,9,1,10,0
5946a6c4f810d5692246e794,9,1,10,0
5946ad02f810d56922516d79,8,3,8,0
5946a762f810d5692248ce57,9,1,10,0
5946a7a3f810d56922491588,6,1,8,0
5946aeb5f810d5692253ff55,6,1,8,0
5946ab35f810d569224fc50a,3,6,8,0
5946a5f3f810d5692244a89d,8,2,8,0
5946a7a2f810d56922490867,4,1,8,0
5946a5a7f810d5692243e390,7,2,9,0
5946acfef810d569225137aa,9,1,9,0
5946aaf2f810d569224f94a0,7,1,10,0
5946a6c7f810d5692246f4dd,8,2,9,0
5946a5f3f810d5692244a9d8,6,3,8,0
5946acd5f810d56922512544,8,1,9,0
5946a6c4f810d5692246ea52,7,2,9,0
5946a6c7f810d5692246f534,9,1,9,0
5946a87af810d569224aa97f,4,5,9,0
5946a6c7f810d5692246f3a0,9,1,9,0
5946a5a7f810d5692243e363,10,1,12,0
5946a8f3f810d569224bb12d,9,1,9,0
5946a761f810d5692248c583,7,1,8,0
5946a6c4f810d5692246ec4b,7,1,8,0
5946b009f810d5692255bdef,9,1,9,0
5946a6c4f810d5692246e986,7,2,9,0
5946a5f3f810d5692244ade9,7,1,8,0
5946b15ff810d56922565988,6,1,8,0
5946a6c7f810d5692246f2a1,10,1,10,0
5946a588f810d56922439932,3,6,8,0
5946acfef810d569225137d4,7,3,8,0
5946a6f2f810d569224749ae,4,2,9,2
5946b00af810d5692255ceb8,9,1,9,0
5946a9aaf810d569224dabd7,4,1,8,1
5946abdff810d5692250732e,9,1,9,0
5946a6c4f810d5692246e99c,8,1,9,0
5946a6c7f810d5692246f4de,8,1,9,0
5946a74ff810d56922489878,5,1,8,0
5946a6c7f810d5692246f4ca,10,1,10,0
5946a761f810d5692248c5f2,7,2,9,0
5946a761f810d5692248c61e,7,2,8,0
5946a8f8f810d569224bf84e,8,1,9,0
5946a7a3f810d56922490b50,4,2,8,0
5946a761f810d5692248c63a,8,1,9,0
5946a611f810d5692244e122,7,1,9,0
5946b086f810d56922560636,6,1,8,0
5946a7a3f810d56922490cc5,5,1,8,0
5946a762f810d5692248cd4d,9,1,10,0
5946a6c7f810d5692246f2b5,10,1,10,0
5946a5a7f810d5692243e30c,6,1,8,0
5946b00af810d5692255cddf,10,1,10,0
5946a6c4f810d5692246e967,8,1,10,0
5946a6c4f810d5692246eb21,8,1,10,0
5946a6c7f810d5692246f272,8,1,8,0
5946a7a2f810d56922490150,5,3,8,0
5946a5a7f810d5692243e346,6,1,9,0
5946a5b3f810d569224400c5,3,6,8,0
5946a8e0f810d569224b70f9,9,2,9,0
5946a6c4f810d5692246e8d0,6,1,8,0
5946a6c4f810d5692246e833,8,1,10,0
5946a6c4f810d5692246e84f,7,2,10,0
5946a6daf810d56922473329,9,1,10,0
5946abb7f810d569225044c8,7,1,8,0
5946a5a7f810d5692243e3d3,10,1,11,0
5946aaf2f810d569224f94ba,6,1,9,0
5946ab35f810d569224fc56f,4,2,9,1
5946a7a2f810d569224908cf,4,4,9,0
5946acfef810d569225135b6,8,2,8,0
5946ad07f810d5692251a5c8,10,1,10,0
5946a6c4f810d5692246ea4a,8,1,10,0
5946a7a3f810d56922490c6b,4,2,8,0
5946a6f2f810d56922474ffe,4,2,8,1
5946a74af810d56922486914,5,1,8,0
5946a589f810d5692243a6e4,5,1,8,0
5946a6c4f810d5692246e7b8,9,1,10,0
5946a761f810d5692248c887,7,1,8,0
5946a6c4f810d5692246e6e3,7,4,9,0
5946a5f3f810d5692244b039,8,2,8,0
5946aee7f810d569225475f3,8,1,8,0
5946a6c4f810d5692246e81d,8,1,10,0
5946a74bf810d56922486ee6,4,5,8,0
5946a6f2f810d56922475093,5,3,8,1
5946ad06f810d56922519cb0,10,1,10,0
5946aeb5f810d5692253fdd3,6,1,8,0
5946a7a2f810d569224900de,5,3,8,0
5946a7a2f810d569224909ef,4,4,9,0
5946a762f810d5692248cda6,8,1,9,0
5946a8fff810d569224c5a79,9,2,9,0
5946a881f810d569224aabc7,8,1,9,0
5946ae9af810d5692253f2f8,8,1,8,0
5946a6c4f810d5692246e92f,8,1,10,0
5946a6c7f810d5692246f2f2,9,1,10,0
5946a954f810d569224d21d0,7,3,8,0
5946a8f8f810d569224bf788,8,1,9,0
5946ad03f810d56922517768,10,1,10,0
5946ad06f810d56922519a98,12,1,12,0
5946aa00f810d569224e20e8,5,1,8,0
5946a7a2f810d5692249067d,4,3,8,0
5946a762f810d5692248cabd,9,1,10,0
5946a610f810d5692244e085,8,1,9,0
5946a761f810d5692248c5c6,7,1,8,0
5946a6c4f810d5692246e934,7,1,8,0
5946ab35f810d569224fc5e2,4,2,8,0
5946aaf2f810d569224f9491,5,1,8,0
5946a762f810d5692248cd4b,9,1,10,0
5946a5f4f810d5692244b104,9,1,9,0
5946a6c4f810d5692246e719,8,2,10,0
5946b1e7f810d56922569394,7,1,8,0
5946a7c1f810d569224964e5,7,1,8,0
5946aa7df810d569224f2aa2,4,2,8,0
5946a7c1f810d569224964e4,6,1,8,0
5946ad0df810d5692251fae0,8,1,8,0
5946a7b8f810d56922494ff3,7,1,8,1
