clique_id, presenze massime_valore, presenze massime_count, numero_nodi, intrusi 
5946a7a3f810d56922490cf7,5,3,8,0
5946ad01f810d56922515db9,9,5,9,0
5946a8fbf810d569224c247f,10,2,11,0
5946a5b3f810d569224403c5,5,3,8,0
5946ab35f810d569224fc2e8,6,3,8,0
5946a576f810d56922436262,9,7,10,0
5946a8fbf810d569224c201a,11,1,12,0
5946acfef810d569225137ca,8,3,8,0
5946a74af810d56922486b96,5,1,8,0
5946aed9f810d56922545ca2,6,3,8,0
5946aec4f810d569225429c0,9,9,11,0
5946aef2f810d56922550aff,10,1,10,0
5946a791f810d5692248eb8b,11,1,12,0
5946b009f810d5692255b949,9,3,9,0
5946a5f2f810d56922449983,8,1,9,0
5946a5f4f810d5692244b577,8,8,10,0
5946a5f3f810d5692244abcf,9,3,9,0
5946a8f5f810d569224bd924,10,1,10,0
5946a809f810d5692249fdae,6,1,8,0
5946ac43f810d5692250aeb0,6,1,8,0
5946a797f810d5692248ef9c,8,3,8,0
5946a8f6f810d569224bdcf6,11,2,12,0
5946a5f2f810d5692244a0f6,8,1,8,0
5946a8fbf810d569224c24d3,13,2,14,0
5946aa04f810d569224e45be,5,3,8,0
5946a8e4f810d569224b7da4,7,3,9,0
5946a5f4f810d5692244b3d5,9,2,10,0
5946a8f4f810d569224bbc5b,11,1,11,0
5946a5b4f810d56922440784,4,6,8,0
5946a5f2f810d5692244a0d0,9,5,10,0
5946a5a5f810d5692243dea1,6,1,8,0
5946aeeaf810d56922549dc4,11,1,12,0
5946ab35f810d569224fc582,7,2,9,0
5946b009f810d5692255b8c5,8,2,9,0
5946a7a2f810d569224909df,7,1,9,0
5946abdff810d569225073e5,9,2,9,0
5946ab79f810d569225010a4,5,1,8,0
5946a5f3f810d5692244ad8d,8,4,9,0
5946ad07f810d5692251a800,9,1,10,0
5946ab72f810d5692250062e,5,3,8,0
5946a7a2f810d56922490a1c,6,1,9,0
5946ac9af810d5692250df6a,10,1,11,0
5946a5f3f810d5692244aebc,10,2,10,0
5946a797f810d5692248efae,7,2,8,0
5946ac43f810d5692250acef,6,1,8,0
5946a7a2f810d56922490544,5,2,8,0
5946ab35f810d569224fc298,7,1,8,0
5946abdff810d56922507473,8,3,9,0
5946a8fff810d569224c5bb1,10,6,12,0
5946a634f810d56922451825,7,2,8,0
5946aeeaf810d56922549fb2,12,2,13,0
5946ab35f810d569224fc56c,6,2,8,0
5946a5f3f810d5692244aed7,8,11,9,0
5946a5b3f810d569224404b0,5,3,8,0
5946a7a2f810d569224909a4,7,1,9,0
5946a7a3f810d5692249110b,5,1,8,0
5946ad07f810d5692251a704,9,2,10,0
5946ad02f810d56922516c21,7,3,8,0
5946a8f2f810d569224ba597,11,1,11,0
5946a7b8f810d569224950d4,7,6,9,1
5946aee8f810d5692254861c,12,1,12,0
5946aef2f810d56922551426,9,5,9,0
5946a6d3f810d56922471f58,8,1,8,0
5946a5b3f810d569224402a2,4,1,8,1
5946ad05f810d5692251976c,13,1,13,0
5946aef0f810d5692254fafe,11,3,12,0
5946ad0af810d5692251d95a,11,1,11,0
5946aeeaf810d56922549dd2,10,3,12,0
5946a7a3f810d56922491683,6,2,8,0
5946aee6f810d56922547155,8,3,8,0
5946ad06f810d56922519e72,11,2,12,0
5946a8e4f810d569224b7df0,7,3,8,0
5946a5f3f810d5692244b051,10,2,10,0
5946a8fff810d569224c5d73,8,3,8,0
5946aec5f810d569225436b4,10,5,10,0
5946a5f4f810d5692244b6d4,8,1,9,0
5946aee8f810d5692254829a,11,1,11,0
5946aee8f810d569225483af,11,1,11,0
5946a5f4f810d5692244b467,9,8,11,0
5946ad0cf810d5692251f144,10,2,10,0
5946ad06f810d56922519e48,11,1,12,0
5946aef2f810d5692255149a,9,2,9,0
5946aeebf810d5692254ac87,10,1,11,0
5946a8fcf810d569224c31dd,11,1,12,0
5946a5b3f810d5692244027b,4,3,8,0
5946a8b6f810d569224b28e6,8,1,8,0
5946ab72f810d5692250077c,5,4,8,0
5946b15ff810d569225657fc,6,2,8,0
5946ad0df810d5692251f926,8,1,8,0
5946aeeaf810d56922549e5e,10,6,12,0
5946a5b3f810d569224402be,4,6,8,0
5946ad07f810d5692251a7fa,10,1,10,0
5946a5f4f810d5692244b65b,9,1,10,0
5946ad07f810d5692251a77f,10,2,10,0
5946aeebf810d5692254b41a,9,2,11,0
5946a5b4f810d569224408ab,4,1,8,0
5946b1e7f810d5692256944f,8,1,10,0
5946a74af810d569224868fd,5,2,8,0
5946b008f810d5692255b6ba,8,2,9,1
5946a7b8f810d569224954da,7,1,8,1
5946aeeaf810d56922549c13,9,2,10,0
5946acfff810d56922513ea6,7,5,8,0
5946a7b7f810d569224949d2,8,3,9,1
5946ad07f810d5692251a573,10,3,10,0
5946aee8f810d569225489ff,12,1,12,0
5946adbbf810d56922532847,5,1,8,1
5946abb6f810d56922503c3b,7,3,8,0
5946a634f810d56922451827,7,1,8,0
5946a7b8f810d5692249565e,7,3,8,1
5946a7b7f810d56922494483,9,3,10,1
5946afb7f810d569225583a8,10,1,10,0
5946ab35f810d569224fc50e,6,3,9,0
5946a8fff810d569224c5cfd,7,3,8,0
5946adbbf810d569225327bd,6,3,8,0
5946b130f810d5692256454a,8,2,8,0
5946a8faf810d569224c16cc,10,3,11,0
5946a5f3f810d5692244a639,9,2,9,0
5946a5f3f810d5692244afc7,8,7,9,0
5946ad06f810d56922519ee5,11,1,12,0
5946a8faf810d569224c18f1,10,1,11,0
5946aee8f810d569225486ef,11,1,11,0
5946a8fdf810d569224c3d24,11,1,12,0
5946a6d4f810d56922471fa4,7,4,8,0
5946aeecf810d5692254c605,9,1,9,0
5946a797f810d5692248ef93,8,4,9,0
5946a7a3f810d5692249112e,5,3,8,0
5946ad02f810d56922516ff7,9,5,10,0
5946b008f810d5692255b67d,8,3,9,1
5946aee8f810d5692254837c,12,1,12,0
5946a8f7f810d569224be671,11,1,11,0
5946ad97f810d5692252dd18,12,1,12,0
5946af55f810d56922555378,8,1,9,0
5946a5f3f810d5692244aef3,10,2,10,0
5946a8fbf810d569224c20b8,11,1,12,0
5946aee8f810d569225489fc,12,1,12,0
5946a57cf810d56922437084,6,3,8,0
5946ad0cf810d5692251f327,11,1,11,0
5946a7a3f810d5692249154a,6,2,8,0
5946acc0f810d5692250f51a,9,2,9,0
5946a74af810d56922486d03,4,7,8,0
5946ac43f810d5692250b1d3,5,1,8,0
5946a8f9f810d569224c09f1,11,3,11,0
5946aa4ef810d569224efa6a,6,3,8,0
5946a67bf810d56922461367,6,2,8,0
5946a7a3f810d569224915e3,6,1,8,0
5946b09af810d56922561cc5,9,3,10,0
5946ab35f810d569224fc1e9,7,1,8,0
5946a7a2f810d56922490a48,5,2,8,0
5946ae28f810d5692253897a,10,1,11,0
5946a8f3f810d569224bb0b4,10,6,10,0
5946a8fdf810d569224c42b3,10,1,11,0
5946ac2cf810d5692250a467,10,1,10,0
5946ad03f810d569225179ae,10,1,10,0
5946ac43f810d5692250b262,6,2,8,0
5946ac43f810d5692250b1c3,5,3,8,0
5946ad0ef810d56922520501,12,1,12,0
5946ad03f810d56922517bb5,12,1,12,0
5946a8f5f810d569224bd19e,8,5,8,0
5946a8f4f810d569224bc17e,12,1,12,0
5946a7a2f810d569224905ab,7,1,9,0
5946aeeaf810d56922549cb9,10,3,11,0
5946a5f3f810d5692244b058,10,2,10,0
5946abdff810d5692250769d,8,2,9,0
5946a5b3f810d569224403ba,5,3,8,0
5946aa00f810d569224e1d94,6,2,8,0
5946a8f1f810d569224b9805,8,3,9,0
5946aee8f810d56922548319,9,1,10,0
5946ab35f810d569224fc5b6,6,2,8,0
5946ab6ef810d5692250038b,5,6,8,0
5946aee8f810d5692254881e,10,1,10,0
5946ad03f810d569225179fb,11,1,11,0
5946ad03f810d569225179a7,9,3,10,0
5946acfef810d5692251399c,9,1,9,0
5946a8fff810d569224c5c7d,9,1,9,0
5946a5f2f810d5692244a05a,8,2,8,0
5946a72df810d5692247f290,8,3,8,0
5946aeedf810d5692254cc9f,12,3,12,0
5946aac0f810d569224f656e,10,1,10,0
5946a5b3f810d5692243ffa6,4,5,8,1
5946a5b3f810d5692243ff76,5,1,8,0
5946a8f7f810d569224be98e,9,4,9,0
5946ad04f810d56922517fdb,11,1,11,0
5946ad02f810d56922516ffe,9,3,10,0
5946a5f4f810d5692244b2e6,9,2,10,0
5946aef0f810d5692254faf8,10,1,11,0
5946a587f810d569224390e0,7,1,8,0
5946abb8f810d56922505553,7,7,9,0
5946aeb5f810d5692253fdb6,8,1,9,0
5946b00af810d5692255cfb1,11,1,11,0
5946a7a3f810d569224910f1,5,1,8,0
