com_id, Nodi, Conteggio, NumeroClique, intrusi, Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5a312bca5b7322713613d3e2,151,5,485,3,148,134,134,133,"0,9801324503","0,8874172185","0,8874172185","0,880794702"
5a312bad5b7322713613d375,148,3,497,3,145,132,129,129,"0,9797297297","0,8918918919","0,8716216216","0,8716216216"
5a312b395b7322713613cdca,145,5,498,1,143,130,128,128,"0,9862068966","0,8965517241","0,8827586207","0,8827586207"
5a312ba15b7322713613d2d1,145,5,460,1,143,132,132,132,"0,9862068966","0,9103448276","0,9103448276","0,9103448276"
5a3123b15b7322713613bcb8,144,3,697,1,143,135,133,132,"0,9930555556","0,9375","0,9236111111","0,9166666667"
5a31246a5b7322713613c15e,144,3,504,2,142,127,126,125,"0,9861111111","0,8819444444","0,875","0,8680555556"
5a312b825b7322713613d152,144,3,601,2,142,124,124,123,"0,9861111111","0,8611111111","0,8611111111","0,8541666667"
5a312ba15b7322713613d2d3,144,3,562,3,141,122,122,121,"0,9791666667","0,8472222222","0,8472222222","0,8402777778"
5a312ba65b7322713613d334,144,3,635,0,144,127,126,126,1,"0,8819444444","0,875","0,875"
5a312c685b7322713613d472,144,3,642,0,144,123,122,121,1,"0,8541666667","0,8472222222","0,8402777778"
5a3124215b7322713613bf38,144,4,507,1,143,128,128,127,"0,9930555556","0,8888888889","0,8888888889","0,8819444444"
5a312b965b7322713613d272,144,4,541,5,139,123,123,122,"0,9652777778","0,8541666667","0,8541666667","0,8472222222"
5a312ba65b7322713613d333,144,4,789,0,144,127,124,123,1,"0,8819444444","0,8611111111","0,8541666667"
5a3124895b7322713613c246,144,5,575,2,141,128,128,128,"0,9791666667","0,8888888889","0,8888888889","0,8888888889"
5a312b755b7322713613d036,144,6,786,0,143,129,128,128,"0,9930555556","0,8958333333","0,8888888889","0,8888888889"
5a3123fc5b7322713613be8f,143,3,458,1,142,130,130,129,"0,993006993","0,9090909091","0,9090909091","0,9020979021"
5a31241a5b7322713613bf0f,143,3,448,1,142,129,128,128,"0,993006993","0,9020979021","0,8951048951","0,8951048951"
5a3124455b7322713613c071,143,3,493,2,141,133,132,132,"0,986013986","0,9300699301","0,9230769231","0,9230769231"
5a312ba15b7322713613d2d6,143,3,429,1,142,125,124,122,"0,993006993","0,8741258741","0,8671328671","0,8531468531"
5a312ba65b7322713613d332,143,3,680,1,142,127,126,125,"0,993006993","0,8881118881","0,8811188811","0,8741258741"
5a3123ba5b7322713613bcfc,143,5,518,0,142,131,128,128,"0,993006993","0,9160839161","0,8951048951","0,8951048951"
5a312b695b7322713613cf5e,143,5,450,0,142,128,127,126,"0,993006993","0,8951048951","0,8881118881","0,8811188811"
5a312b8a5b7322713613d198,142,3,500,4,138,125,125,124,"0,9718309859","0,8802816901","0,8802816901","0,8732394366"
5a312bad5b7322713613d376,142,5,462,1,140,127,126,125,"0,985915493","0,8943661972","0,8873239437","0,8802816901"
5a3120565b7322713613b839,141,5,603,0,141,132,131,131,1,"0,9361702128","0,9290780142","0,9290780142"
5a312b965b7322713613d270,141,5,553,2,138,123,122,121,"0,9787234043","0,8723404255","0,865248227","0,8581560284"
5a312ba15b7322713613d2d5,141,5,496,2,138,122,121,120,"0,9787234043","0,865248227","0,8581560284","0,8510638298"
5a312ba45b7322713613d30d,141,5,408,0,140,127,125,125,"0,9929078014","0,9007092199","0,8865248227","0,8865248227"
5a3123f65b7322713613be6f,140,4,438,0,140,124,122,121,1,"0,8857142857","0,8714285714","0,8642857143"
5a311da05b7322713613b467,62,3,139,0,62,58,58,56,1,"0,935483871","0,935483871","0,9032258065"
5a2ac6545b73222015f92810,57,3,109,0,57,49,48,47,1,"0,8596491228","0,8421052632","0,8245614035"
5a2ac2065b73222015f90f24,56,5,109,1,55,48,48,48,"0,9821428571","0,8571428571","0,8571428571","0,8571428571"
5a2ac2d05b73222015f91ad7,51,5,134,0,51,41,40,40,1,"0,8039215686","0,7843137255","0,7843137255"
5a2ac2655b73222015f915e6,50,5,139,0,50,44,43,43,1,"0,88","0,86","0,86"
5a2ac29d5b73222015f917f6,48,3,104,0,48,43,42,42,1,"0,8958333333","0,875","0,875"
5a2ac69f5b73222015f92e1c,47,5,76,0,47,44,42,42,1,"0,9361702128","0,8936170213","0,8936170213"
5a2ac2c95b73222015f91a13,43,3,82,2,41,35,35,34,"0,9534883721","0,8139534884","0,8139534884","0,7906976744"
5a2ac6975b73222015f92d07,42,3,85,0,42,37,36,36,1,"0,880952381","0,8571428571","0,8571428571"
5a2acaf15b73222015f94138,42,5,102,1,41,40,40,40,"0,9761904762","0,9523809524","0,9523809524","0,9523809524"
5a2ac2bc5b73222015f91949,42,8,74,0,42,38,38,37,1,"0,9047619048","0,9047619048","0,880952381"
5a2ac6c15b73222015f930a7,41,3,83,0,41,36,36,36,1,"0,8780487805","0,8780487805","0,8780487805"
5a2ac6985b73222015f92d42,39,9,86,0,39,36,35,35,1,"0,9230769231","0,8974358974","0,8974358974"
5a2ac6835b73222015f92ba5,37,5,74,0,37,31,31,31,1,"0,8378378378","0,8378378378","0,8378378378"
5a2abc435b73222015f8ef63,35,4,54,0,35,31,30,30,1,"0,8857142857","0,8571428571","0,8571428571"
5a2ac2385b73222015f913c3,35,4,39,1,34,32,31,30,"0,9714285714","0,9142857143","0,8857142857","0,8571428571"
5a2ac2865b73222015f9171f,35,6,66,1,34,29,29,29,"0,9714285714","0,8285714286","0,8285714286","0,8285714286"
5a2ac6de5b73222015f93168,35,7,58,1,34,32,31,31,"0,9714285714","0,9142857143","0,8857142857","0,8857142857"
5a2ac2c65b73222015f919d5,34,5,41,1,33,30,30,30,"0,9705882353","0,8823529412","0,8823529412","0,8823529412"
