clique,elem_max,conteggio,nodi,intrusi,amicizie mancanti,simmetrie mancanti
5946a576f810d56922436261,10,1,10,0,0.0,12
5946a576f810d5692243634a,9,1,9,0,0.0,3
5946a5f2f810d56922449994,9,2,9,0,0.0,9
5946a5f2f810d56922449e2b,8,2,8,0,0.0,2
5946a5f2f810d56922449e31,8,2,8,0,0.0,7
5946a5f2f810d56922449f38,8,2,8,0,0.0,2
5946a5f2f810d5692244a05a,8,2,8,0,0.0,7
5946a5f2f810d5692244a088,8,2,8,0,0.0,2
5946a5f2f810d5692244a08a,8,2,8,0,0.0,1
5946a5f2f810d5692244a0ef,8,2,8,0,0.0,0
5946a5f3f810d5692244a496,9,2,9,0,0.0,1
5946a5f3f810d5692244a4f8,9,2,9,0,0.0,0
5946a5f3f810d5692244a510,10,2,10,0,0.0,0
5946a5f3f810d5692244a529,10,2,10,0,0.0,0
5946a5f3f810d5692244a5b2,9,2,9,0,0.0,0
5946a5f3f810d5692244a5db,9,2,9,0,0.0,1
5946a5f3f810d5692244a639,9,2,9,0,0.0,9
5946a5f3f810d5692244a63d,9,2,9,0,0.0,7
5946a5f3f810d5692244a67f,9,2,9,0,0.0,6
5946a5f3f810d5692244a6be,9,1,9,0,0.0,9
5946a5f3f810d5692244a6d0,10,2,10,0,0.0,0
5946a5f3f810d5692244a754,10,1,10,0,0.0,0
5946a5f3f810d5692244a7e1,10,1,10,0,0.0,9
5946a5f3f810d5692244a8d6,8,2,8,0,0.0,7
5946a5f3f810d5692244a933,8,2,8,0,0.0,6
5946a5f3f810d5692244abcc,9,2,9,0,0.0,1
5946a5f3f810d5692244ad81,10,2,10,0,0.0,0
5946a5f3f810d5692244adbb,8,2,8,0,0.0,7
5946a5f3f810d5692244aebc,10,2,10,0,0.0,9
5946a5f3f810d5692244aed5,10,2,10,0,0.0,0
5946a5f3f810d5692244aee0,10,1,10,0,0.0,1
5946a5f3f810d5692244aef3,10,2,10,0,0.0,9
5946a5f3f810d5692244af4e,10,2,10,0,0.0,0
5946a5f3f810d5692244aff7,10,1,10,0,0.0,1
