com_id, Nodi, MassimaFreq, Conteggio, NumeroClique, intrusi
5a29c76f5b73222015f6f7cd,13,12,1,3,0
5a29d5f15b73222015f75e9e,11,10,2,2,0
5a29c7665b73222015f6f7a4,12,11,1,2,0
5a29cbfc5b73222015f71919,13,13,1,2,0
5a2abb9c5b73222015f8e921,19,19,1,15,0
5a2abbbf5b73222015f8ea7d,34,34,1,43,0
5a29d6245b73222015f75f1c,11,11,2,2,0
5a2ab4fc5b73222015f8ba52,9,7,2,2,0
5a29ec2e5b73222015f7a1dc,12,10,1,3,0
5a29eb3b5b73222015f79f94,11,10,1,2,0
5a2abac05b73222015f8e191,23,20,1,24,0
5a2a24af5b73222015f7fb89,28,25,1,18,0
5a312ba15b7322713613d2d1,145,132,1,460,1
5a2ac2c55b73222015f919bf,33,31,1,60,0
5a29d4475b73222015f75732,12,12,1,3,0
5a2ab3055b73222015f8ab57,12,10,1,4,0
5a29e0a55b73222015f77fd9,12,12,1,3,0
5a312b805b7322713613d129,13,13,1,5,0
5a29d3475b73222015f74f26,11,9,3,2,0
5a2ac2d15b73222015f91ae6,17,14,1,14,0
5a2a762e5b73222015f85888,10,8,1,3,1
5a2abd605b73222015f8f85f,18,16,1,14,0
5a2aac3d5b73222015f88355,9,8,1,2,0
5a2a28195b73222015f80008,11,9,1,3,0
5a29e6f65b73222015f793a7,13,13,1,3,0
5a29ce035b73222015f72647,14,14,1,2,0
5a2a03185b73222015f7ccc1,12,10,1,4,0
5a2a2af15b73222015f8039d,10,9,1,2,0
5a2a6f615b73222015f8540a,9,8,1,2,0
5a2a27195b73222015f7fee7,11,9,3,3,0
5a2ab2fc5b73222015f8aadd,13,12,1,4,0
5a2a75015b73222015f8579b,9,8,3,2,1
5a2ac2cc5b73222015f91a66,20,18,1,26,0
5a2abc325b73222015f8eebf,15,13,2,10,0
5a2ab4fe5b73222015f8ba80,25,22,1,30,0
5a2ab0b65b73222015f8999a,13,13,1,6,0
5a2a94475b73222015f86be4,13,12,1,7,0
5a3123f65b7322713613be6f,140,122,1,438,0
5a2aa4f85b73222015f875b4,9,9,1,2,0
5a29e88c5b73222015f798a2,11,9,1,2,0
5a2ac2835b73222015f9170d,34,27,1,86,0
5a2a05965b73222015f7d003,10,9,1,2,0
5a2abe515b73222015f8fc46,13,11,1,8,0
5a2a15cb5b73222015f7e63c,10,9,1,2,0
5a29d2465b73222015f74a5d,11,9,3,2,0
5a29d4b45b73222015f759ab,13,12,1,4,0
5a29ccda5b73222015f71e43,13,12,1,3,0
5a29d4f75b73222015f75b05,11,11,1,2,0
5a2ab2dd5b73222015f8aa03,11,9,2,5,0
5a2a16ff5b73222015f7e829,14,14,1,6,0
5a29df3d5b73222015f77999,11,11,3,2,0
5a2abd585b73222015f8f80d,14,14,1,4,0
5a2aae0f5b73222015f889bf,10,9,2,3,0
5a2a77d95b73222015f85a9d,10,5,3,3,0
5a2a88405b73222015f86405,9,8,2,2,1
5a312c705b7322713613d482,22,17,2,13,0
5a2ab4515b73222015f8b554,9,9,1,2,0
5a2ab1595b73222015f89dbc,14,13,2,9,0
5a2ac6545b73222015f92810,57,48,2,109,0
5a2ab4fe5b73222015f8ba6e,18,15,1,9,0
5a2abbdc5b73222015f8eb9a,21,21,1,20,0
5a2aabf75b73222015f882c6,12,10,3,4,0
5a29d4675b73222015f75802,11,10,1,2,0
5a2ab01e5b73222015f895c4,9,9,1,2,0
5a2abc295b73222015f8ee74,16,14,1,9,0
5a2a7cfe5b73222015f85d3c,9,8,3,2,1
5a2a52b05b73222015f83b71,14,14,2,5,0
5a312c5e5b7322713613d465,23,16,3,15,0
5a2abc235b73222015f8ee1f,13,13,1,7,0
5a2abb095b73222015f8e599,18,14,2,18,0
5a29c0025b73222015f6cef6,15,15,1,4,0
5a2a1ec75b73222015f7f2af,17,14,3,8,0
5a29e0fa5b73222015f78111,11,11,1,2,0
5a2a46ec5b73222015f82cb4,10,10,1,2,0
5a29dfad5b73222015f77c5d,11,11,1,2,0
5a2a2c5d5b73222015f80590,10,10,1,2,0
5a2a6d925b73222015f851ab,12,12,1,5,0
5a29c3875b73222015f6de46,15,15,1,4,0
5a2abe605b73222015f8fcd8,15,15,3,5,0
5a2abc605b73222015f8f0c4,20,20,1,16,0
5a2a107a5b73222015f7ddb9,11,10,2,3,1
5a2a24615b73222015f7fa7e,10,10,1,2,0
5a29c3875b73222015f6de47,17,16,1,6,1
5a2aaf255b73222015f890be,9,8,1,2,0
5a2aab655b73222015f87fba,13,12,1,6,0
5a2abe815b73222015f8fdde,10,10,1,3,0
5a29d2e45b73222015f74cd3,11,11,2,2,0
5a29d2e45b73222015f74ccf,11,11,2,2,0
5a2abce45b73222015f8f4d2,10,9,2,2,0
5a2ac6835b73222015f92ba5,37,31,1,74,0
5a2ab4255b73222015f8b454,11,11,1,4,0
5a29d4215b73222015f75674,11,11,3,2,0
5a311da05b7322713613b467,62,58,1,139,0
5a2aae425b73222015f88b4f,12,12,1,3,0
5a2abe505b73222015f8fc34,14,13,1,8,0
5a2abbd15b73222015f8eb23,21,20,1,23,0
5a2a232f5b73222015f7f800,11,7,2,3,0
5a2abc255b73222015f8ee4a,11,11,3,5,0
5a29fdaf5b73222015f7c3cb,10,8,3,2,0
5a2abe535b73222015f8fc6c,13,10,1,5,1
5a2a68f05b73222015f84f34,15,14,2,10,0
5a2aaba15b73222015f88164,17,15,1,12,0
5a29f60d5b73222015f7b91f,16,16,1,9,0
5a2a8a625b73222015f8653f,13,11,3,5,1
5a2a5ba25b73222015f844c1,9,8,1,2,0
5a2aafcc5b73222015f89433,14,11,2,11,0
5a2a90145b73222015f86857,9,9,1,2,0
5a2abe275b73222015f8fb21,15,13,1,6,0
5a2a9b5d5b73222015f870ab,10,9,2,3,0
5a29d2a45b73222015f74beb,11,10,2,2,0
5a2aac5c5b73222015f883ab,11,10,3,5,1
5a29c1935b73222015f6d244,15,14,3,4,0
5a29f3505b73222015f7b2fb,12,12,2,2,0
5a2aacad5b73222015f884da,9,9,1,2,0
5a2a5ae15b73222015f84425,9,8,3,2,0
5a2a31055b73222015f80c1b,10,9,2,2,1
5a2abb9f5b73222015f8e971,16,14,1,5,0
5a2a451a5b73222015f829b9,11,11,1,3,0
5a2ab9945b73222015f8d500,19,15,1,14,0
