clique_id,numero_nodi,amicizie_mancanti,simmetrie_mancanti
5946a562f810d56922433679,8,0.0,11
5946a562f810d5692243367a,8,0.0,11
5946a567f810d569224339f5,8,0.0,10
5946a567f810d56922433a3a,8,0.0,10
5946a569f810d56922434a07,8,0.0,10
5946a569f810d56922434f26,8,0.0,10
5946a576f810d56922436261,10,0.0,12
5946a576f810d56922436262,10,0.0,12
5946a576f810d56922436276,12,0.0,9
5946a576f810d56922436336,10,0.0,1
5946a576f810d56922436338,10,0.0,3
5946a576f810d5692243634a,9,0.0,3
5946a57cf810d5692243703c,8,0.0,12
5946a57cf810d56922437043,8,0.0,13
5946a57cf810d56922437045,8,0.0,13
5946a57cf810d5692243704c,8,0.0,13
5946a57cf810d56922437050,8,0.0,12
5946a57cf810d5692243707c,8,0.0,16
5946a57cf810d56922437084,8,0.0,14
5946a582f810d56922438020,8,0.0,16
5946a582f810d5692243802c,8,0.0,15
5946a582f810d5692243802d,8,0.0,17
5946a587f810d56922438944,8,0.0,12
5946a587f810d56922438a4e,8,0.0,12
5946a587f810d56922438de7,8,0.0,7
5946a587f810d56922438e39,8,0.0,12
5946a587f810d56922438e4c,8,0.0,11
5946a587f810d56922438eec,8,0.0,12
5946a587f810d56922438f2a,8,0.0,12
5946a587f810d569224390c8,8,0.0,10
5946a587f810d569224390e0,8,0.0,12
5946a587f810d56922439210,8,0.0,12
5946a588f810d56922439811,8,0.0,12
5946a588f810d56922439868,8,0.0,12
5946a588f810d56922439869,8,0.0,12
5946a589f810d5692243a6db,8,0.0,15
5946a589f810d5692243aa1c,8,0.0,11
5946a589f810d5692243aa32,8,0.0,10
5946a589f810d5692243aa3a,8,0.0,13
5946a589f810d5692243aa40,8,0.0,12
5946a589f810d5692243aa42,8,0.0,12
5946a589f810d5692243aa55,8,0.0,13
5946a5a1f810d5692243d9fc,8,0.0,9
5946a5a5f810d5692243ddda,8,0.0,8
5946a5a5f810d5692243ddf7,8,0.0,7
5946a5a5f810d5692243dea1,8,0.0,14
5946a5adf810d5692243fa99,8,0.0,15
5946a5b3f810d5692243ff6f,8,0.0,13
5946a5b3f810d5692243ff71,8,0.0,11
5946a5b3f810d5692243ff74,8,0.0,17
5946a5b3f810d5692243ff75,8,0.0,15
5946a5b3f810d5692243ff76,8,0.0,18
5946a5b3f810d5692243ff77,8,0.0,16
5946a5b3f810d5692243ffa6,8,0.0,13
5946a5b3f810d5692243ffa9,8,0.0,14
5946a5b3f810d5692243ffb4,8,0.0,9
5946a5b3f810d5692243ffba,8,0.0,9
5946a5b3f810d569224400b1,8,0.0,8
5946a5b3f810d569224400b5,8,0.0,8
5946a5b3f810d569224400c6,8,0.0,5
5946a5b3f810d569224400d4,8,0.0,10
5946a5b3f810d569224400d7,8,0.0,11
5946a5b3f810d56922440100,8,0.0,11
5946a5b3f810d56922440104,8,0.0,11
5946a5b3f810d569224401ee,8,0.0,8
5946a5b3f810d56922440206,8,0.0,9
5946a5b3f810d56922440226,8,0.0,12
5946a5b3f810d56922440227,8,0.0,9
5946a5b3f810d56922440230,8,0.0,11
5946a5b3f810d56922440231,8,0.0,8
5946a5b3f810d5692244025d,8,0.0,11
5946a5b3f810d56922440262,8,0.0,11
5946a5b3f810d5692244027b,8,0.0,9
5946a5b3f810d56922440285,8,0.0,9
5946a5b3f810d5692244029c,8,0.0,11
5946a5b3f810d569224402a2,8,0.0,11
5946a5b3f810d569224402a6,8,0.0,11
5946a5b3f810d569224402a9,8,0.0,15
5946a5b3f810d569224402aa,8,0.0,16
