clique_id,numero_nodi,amicizie_mancanti,simmetrie_mancanti,massimo_score_interessi,count_score_massimi 
5946a576f810d56922436308,11,0,5,11,8
5946a576f810d56922436310,12,0,11,19,8
5946a576f810d56922436312,12,0,11,31,8
5946a576f810d56922436315,12,0,5,38,8
5946a576f810d56922436316,12,0,4,50,8
5946a576f810d56922436319,11,0,11,57,8
5946a576f810d5692243631a,11,0,10,68,8
5946a576f810d5692243631d,12,0,5,67,8
5946a576f810d5692243631e,12,0,6,81,8
5946a576f810d56922436323,10,0,3,66,10
5946a576f810d56922436324,10,0,4,78,8
5946a576f810d56922436327,10,0,2,74,10
5946a576f810d56922436328,10,0,3,86,8
5946a576f810d5692243632c,10,0,4,85,10
5946a576f810d56922436332,8,0,3,63,12
5946a576f810d56922436336,10,0,1,104,10
5946a576f810d5692243633b,8,0,1,86,9
5946a576f810d5692243633c,11,0,2,127,6
5946a576f810d5692243633d,11,0,1,137,6
5946a576f810d5692243633e,10,0,4,139,6
5946a576f810d5692243633f,10,0,4,148,6
5946a576f810d56922436340,10,0,4,144,6
5946a576f810d56922436342,8,0,4,107,11
5946a576f810d56922436347,11,0,3,168,8
5946a576f810d56922436348,11,0,4,178,8
5946a576f810d5692243634a,9,0,3,148,9
5946a576f810d5692243634d,9,0,5,150,8
5946a576f810d5692243635c,8,0,2,104,14
5946a576f810d56922436362,8,0,9,118,11
5946a576f810d5692243636e,10,0,6,167,10
5946a576f810d56922436374,9,0,6,123,10
5946a576f810d56922436375,10,0,6,178,10
5946a576f810d56922436377,11,0,6,207,6
5946a576f810d5692243637e,11,0,5,195,8
5946a576f810d56922436381,10,0,10,169,10
5946a576f810d56922436386,11,0,11,228,8
5946a576f810d56922436388,10,0,9,207,10
5946a576f810d56922436391,10,0,8,161,10
5946a576f810d56922436394,11,0,7,231,8
5946a576f810d56922436395,11,0,6,241,8
5946a576f810d5692243639a,11,0,6,272,8
5946a576f810d5692243639b,11,0,5,282,8
5946a576f810d569224363a0,11,0,12,281,8
5946a576f810d569224363a1,11,0,11,291,8
5946a576f810d569224363a3,11,0,13,262,10
5946a57af810d56922436801,8,0,4,143,8
5946a57af810d56922436806,8,0,3,150,8
5946a57cf810d5692243703b,8,0,9,8,1
